"d","fit"
5.71,0
5.72,0
5.73,0
5.74,0
5.75,0
5.76,0
5.77,0
5.78,0
5.79,0
5.8,0
5.81,0
5.82,0
5.83,0
5.84,0
5.85,0
5.86,0
5.87,0
5.88,0
5.89,0
5.9,0
5.91,0
5.92,0
5.93,0
5.94,0
5.95,0
5.96,0
5.97,0
5.98,0
5.99,0
6,0
6.01,0
6.02,0
6.03,0
6.04,0
6.05,0
6.06,0
6.07,0
6.08,0
6.09,0
6.1,0
6.11,0
6.12,0
6.13,0
6.14,0
6.15,0
6.16,0
6.17,0
6.18,0
6.19,0
6.2,0
6.21,0
6.22,0
6.23,0
6.24,0
6.25,0
6.26,0
6.27,0
6.28,0
6.29,0
6.3,0
6.31,0
6.32,0
6.33,0
6.34,0
6.35,0
6.36,0
6.37,0
6.38,0
6.39,0
6.4,0
6.41,0
6.42,0
6.43,0
6.44,0
6.45,9.88131291682493e-324
6.46,5.92878775009496e-323
6.47,3.06320700421573e-322
6.48,1.56618809731675e-321
6.49,7.83094048658376e-321
6.5,3.90805925860426e-320
6.51,1.94187561441444e-319
6.52,9.60932977878932e-319
6.53,4.73509550580376e-318
6.54,2.32354626648326e-317
6.55,1.13544521488635e-316
6.56,5.52560972877076e-316
6.57,2.67793504836649e-315
6.58,1.29250512346223e-314
6.59,6.21274412143405e-314
6.6,2.97413137079071e-313
6.61,1.41797576901598e-312
6.62,6.73311314892746e-312
6.63,3.18425534134516e-311
6.64,1.49986138803488e-310
6.65,7.03642387073331e-310
6.66,3.2878865426067e-309
6.67,1.5302130904234e-308
6.68,7.09354833441261e-308
6.69,3.27535152949577e-307
6.7,1.50640335798217e-306
6.71,6.90112317489586e-306
6.72,3.14919514641089e-305
6.73,1.4314849019729e-304
6.74,6.48167807595192e-304
6.75,2.92353085974802e-303
6.76,1.31357075349914e-302
6.77,5.87937029746352e-302
6.78,2.6214747369978e-301
6.79,1.16440481528865e-300
6.8,5.1524248557759e-300
6.81,2.27130038316283e-299
6.82,9.97467059022805e-299
6.83,4.36404729769348e-298
6.84,1.90218618758894e-297
6.85,8.26028531505259e-297
6.86,3.57372603238375e-296
6.87,1.54041362421707e-295
6.88,6.61529189481256e-295
6.89,2.83049171378389e-294
6.9,1.20665078935379e-293
6.91,5.12523457704454e-293
6.92,2.16902168560352e-292
6.93,9.14613446984219e-292
6.94,3.84273402896661e-291
6.95,1.60870945252996e-290
6.96,6.71050038689861e-290
6.97,2.78918703216053e-289
6.98,1.15518413917995e-288
6.99,4.76739381337566e-288
7,1.96052519591006e-287
7.01,8.03398001878295e-287
7.02,3.2806605190092e-286
7.03,1.33496335175012e-285
7.04,5.41327582321415e-285
7.05,2.18745416374248e-284
7.06,8.8086826623146e-284
7.07,3.53493429935445e-283
7.08,1.41369350680452e-282
7.09,5.6342724934281e-282
7.1,2.23786665824428e-281
7.11,8.85828038850573e-281
7.12,3.49452826540891e-280
7.13,1.37390481685394e-279
7.14,5.38342541572884e-279
7.15,2.10232429582569e-278
7.16,8.18247407051127e-278
7.17,3.17408408668035e-277
7.18,1.22717358410838e-276
7.19,4.72881413940337e-276
7.2,1.81619318200449e-275
7.21,6.95248782171201e-275
7.22,2.65272151719281e-274
7.23,1.0088372655743e-273
7.24,3.82413652426887e-273
7.25,1.44488485047983e-272
7.26,5.44158481159008e-272
7.27,2.04274708791631e-271
7.28,7.64373330379799e-271
7.29,2.85103699737663e-270
7.3,1.06001310428645e-269
7.31,3.92857727202161e-269
7.32,1.45137507103242e-268
7.33,5.34501466528095e-268
7.34,1.96221952378946e-267
7.35,7.18092316852792e-267
7.36,2.61969957321029e-266
7.37,9.52720972258404e-266
7.38,3.45404087701752e-265
7.39,1.24836388461872e-264
7.4,4.49791597719644e-264
7.41,1.61563154429946e-263
7.42,5.78546880575904e-263
7.43,2.06540117233709e-262
7.44,7.35096367372062e-262
7.45,2.60832961725481e-261
7.46,9.22705973827116e-261
7.47,3.25425185123579e-260
7.48,1.14427456176327e-259
7.49,4.011481993648e-259
7.5,1.40210074330836e-258
7.51,4.88604642382858e-258
7.52,1.69763439274095e-257
7.53,5.88089111598511e-257
7.54,2.03122803219869e-256
7.55,6.99511642540775e-256
7.56,2.40190635296711e-255
7.57,8.22330065596168e-255
7.58,2.8071740464111e-254
7.59,9.55497739574895e-254
7.6,3.24288242559509e-253
7.61,1.09743296506451e-252
7.62,3.70317371819086e-252
7.63,1.24601555411267e-251
7.64,4.18051828039406e-251
7.65,1.39861457049269e-250
7.66,4.66585441818101e-250
7.67,1.55214922514251e-249
7.68,5.14883334247828e-249
7.69,1.70318245728632e-248
7.7,5.61816358847937e-248
7.71,1.84804406069348e-247
7.72,6.06204073390887e-247
7.73,1.98297757945132e-246
7.74,6.4686402961463e-246
7.75,2.1043028690363e-245
7.76,6.82664512018045e-245
7.77,2.20858445290607e-244
7.78,7.12577413829052e-244
7.79,2.29279481225334e-243
7.8,7.35727764409702e-243
7.81,2.35446166269123e-242
7.82,7.51436546480603e-242
7.83,2.39178913827031e-241
7.84,7.59253860793505e-241
7.85,2.40374456065393e-240
7.86,7.5898017567912e-240
7.87,2.39010496315383e-239
7.88,7.50674276357914e-239
7.89,2.35146053029965e-238
7.9,7.3464752022153e-238
7.91,2.2891753166199e-237
7.92,7.11445014484993e-237
7.93,2.20530871866389e-236
7.94,6.81815266660415e-236
7.95,2.10250390438333e-235
7.96,6.46670631979718e-235
7.97,1.98385151576504e-234
7.98,6.07041430758271e-234
7.99,1.85273828980542e-233
8,5.64026894475356e-233
8.01,1.71269071366752e-232
8.02,5.18746112533815e-232
8.03,1.56722345733429e-231
8.04,4.72291910696447e-231
8.05,1.41970120923529e-230
8.06,4.25690139234462e-230
8.07,1.27322084066406e-229
8.08,3.79866243151468e-229
8.09,1.13051874833994e-228
8.1,3.35620296845456e-228
8.11,9.93905992067782e-228
8.12,2.93610980477929e-227
8.13,8.65231667316685e-227
8.14,2.54348317822405e-226
8.15,7.4587301124782e-226
8.16,2.18194435788553e-225
8.17,6.36749170217999e-225
8.18,1.85371178568845e-224
8.19,5.38354438575384e-224
8.2,1.55973131510654e-223
8.21,4.50806139918044e-223
8.22,1.29984482016468e-222
8.23,3.73902141617172e-222
8.24,1.07298153673597e-221
8.25,3.07183211136302e-221
8.26,8.7735771746235e-221
8.27,2.49995952324263e-220
8.28,7.10672232967403e-220
8.29,2.01552802171076e-219
8.3,5.7028831606183e-219
8.31,1.60986423620997e-218
8.32,4.53394417685357e-218
8.33,1.27396707227245e-217
8.34,3.57139860135447e-217
8.35,9.98894193064479e-217
8.36,2.78743430272902e-216
8.37,7.76062524750175e-216
8.38,2.1557511448085e-215
8.39,5.97466127438393e-215
8.4,1.65212764813084e-214
8.41,4.55819019707798e-214
8.42,1.25476585969779e-213
8.43,3.44633280803812e-213
8.44,9.44449750288524e-213
8.45,2.58244129959459e-212
8.46,7.04554916903405e-212
8.47,1.91793925403274e-211
8.48,5.20946659778762e-211
8.49,1.41186403205805e-210
8.5,3.81800490236762e-210
8.51,1.03021258741038e-209
8.52,2.77374636862898e-209
8.53,7.45176098723948e-209
8.54,1.99758883243605e-208
8.55,5.34331810636719e-208
8.56,1.42618682617388e-207
8.57,3.79843745996308e-207
8.58,1.00948392131439e-206
8.59,2.67708637621981e-206
8.6,7.08429421579938e-206
8.61,1.87070233212e-205
8.62,4.92934634009105e-205
8.63,1.29614375002491e-204
8.64,3.40093892023841e-204
8.65,8.90489787549936e-204
8.66,2.32673067891026e-203
8.67,6.06670607587614e-203
8.68,1.57852713103438e-202
8.69,4.09869864346673e-202
8.7,1.06203135538813e-201
8.71,2.7461778923769e-201
8.72,7.08634877579013e-201
8.73,1.82482597024408e-200
8.74,4.68951563300566e-200
8.75,1.2026649431118e-199
8.76,3.07803786438817e-199
8.77,7.86173517781195e-199
8.78,2.00392057170358e-198
8.79,5.09756440928115e-198
8.8,1.29409911576453e-197
8.81,3.27866787045937e-197
8.82,8.29000573610744e-197
8.83,2.09190619422576e-196
8.84,5.26819675672911e-196
8.85,1.32408724274793e-195
8.86,3.32130277612507e-195
8.87,8.3145739023594e-195
8.88,2.0773687273375e-194
8.89,5.18002236289671e-194
8.9,1.28912940692367e-193
8.91,3.20192094254933e-193
8.92,7.93736344179931e-193
8.93,1.96379367066893e-192
8.94,4.84921811667613e-192
8.95,1.19510535657409e-191
8.96,2.93969048125663e-191
8.97,7.21705937343289e-191
8.98,1.76841634324677e-190
8.99,4.32490560882954e-190
9,1.05569608796781e-189
9.01,2.57201585319561e-189
9.02,6.25436318070573e-189
9.03,1.51799222019216e-188
9.04,3.67735238487801e-188
9.05,8.89165196171516e-188
9.06,2.14591941111554e-187
9.07,5.16928338982241e-187
9.08,1.24289797670872e-186
9.09,2.98284745427619e-186
9.1,7.14527978006522e-186
9.11,1.70844997511735e-185
9.12,4.07739063198168e-185
9.13,9.7131833128394e-185
9.14,2.3096290646519e-184
9.15,5.48184109504992e-184
9.16,1.2987224976232e-183
9.17,3.07124281262531e-183
9.18,7.24973203734558e-183
9.19,1.70821253581625e-182
9.2,4.01768729682513e-182
9.21,9.43249876622827e-182
9.22,2.21052735268277e-181
9.23,5.17113225586395e-181
9.24,1.20753050567277e-180
9.25,2.81472117395057e-180
9.26,6.54937012804212e-180
9.27,1.52122218034081e-179
9.28,3.52709201994093e-179
9.29,8.16345527610012e-179
9.3,1.88610724497545e-178
9.31,4.35006685164989e-178
9.32,1.00153169669777e-177
9.33,2.30183778411319e-177
9.34,5.28114390611526e-177
9.35,1.20955765596396e-176
9.36,2.76549221944328e-176
9.37,6.31200887322337e-176
9.38,1.43818265603295e-175
9.39,3.27125022567295e-175
9.4,7.42794595366169e-175
9.41,1.6837628649553e-174
9.42,3.81023976942205e-174
9.43,8.60765453389272e-174
9.44,1.94124542572033e-173
9.45,4.37060038787929e-173
9.46,9.82355607083939e-173
9.47,2.20427238526429e-172
9.48,4.9377900142449e-172
9.49,1.10426349485061e-171
9.5,2.46540040745015e-171
9.51,5.49514002210394e-171
9.52,1.22278051532516e-170
9.53,2.7164304583616e-170
9.54,6.0246370712322e-170
9.55,1.33397373844735e-169
9.56,2.94882927731059e-169
9.57,6.50788396981619e-169
9.58,1.4339025900763e-168
9.59,3.15421303535795e-168
9.6,6.92716866465788e-168
9.61,1.51885286336969e-167
9.62,3.32485475170085e-167
9.63,7.26655398971866e-167
9.64,1.5855684713051e-166
9.65,3.45417214317707e-166
9.66,7.51289356114064e-166
9.67,1.63146054054474e-165
9.68,3.53715248471839e-165
9.69,7.65668261626967e-165
9.7,1.6547749596206e-164
9.71,3.57067596436203e-164
9.72,7.69266658919335e-164
9.73,1.65470320947154e-163
9.74,3.55370842185167e-163
9.75,7.62015322055823e-163
9.76,1.63142678220828e-162
9.77,3.48734711816727e-162
9.78,7.44300315619602e-162
9.79,1.58609204567065e-161
9.8,3.37471767904591e-161
9.81,7.16930559508922e-161
9.82,1.52071920553679e-160
9.83,3.22073475594161e-160
9.84,6.81077563273568e-160
9.85,1.43805520818619e-159
9.86,3.03175148444122e-159
9.87,6.38193487724276e-159
9.88,1.34138528411224e-158
9.89,2.81513204989391e-158
9.9,5.89915392065395e-158
9.91,1.23432083757014e-157
9.92,2.578786671885e-157
9.93,5.37964277693252e-157
9.94,1.12058230626058e-156
9.95,2.3307087945996e-156
9.96,4.84047326332884e-156
9.97,1.00379450102542e-155
9.98,2.07855053847253e-155
9.99,4.29770659591355e-155
10,8.87309105464446e-155
10.01,1.82926536605223e-154
10.02,3.76568228911589e-154
10.03,7.74064974424203e-154
10.04,1.58883762384076e-153
10.05,3.25650349158382e-153
10.06,6.66492221619916e-153
10.07,1.36210846527725e-152
10.08,2.77973200987479e-152
10.09,5.66461435407595e-152
10.1,1.15269790099696e-151
10.11,2.34228606052367e-151
10.12,4.75275231411333e-151
10.13,9.6301439861078e-151
10.14,1.94851726508436e-150
10.15,3.93696123509933e-150
10.16,7.94337269890303e-150
10.17,1.60043181287278e-149
10.18,3.22002581765117e-149
10.19,6.46953367629022e-149
10.2,1.29801450586188e-148
10.21,2.60064187472392e-148
10.22,5.20328341322407e-148
10.23,1.03961328593287e-147
10.24,2.07426885846104e-147
10.25,4.13293555896204e-147
10.26,8.22344986784332e-147
10.27,1.63400265216688e-146
10.28,3.24232254620436e-146
10.29,6.42489272346631e-146
10.3,1.27140290483552e-145
10.31,2.51252051630946e-145
10.32,4.95845723967003e-145
10.33,9.77227097556575e-145
10.34,1.92334783458499e-144
10.35,3.7803759636874e-144
10.36,7.42041855469923e-144
10.37,1.45458624829389e-143
10.38,2.84753865766761e-143
10.39,5.56698771909208e-143
10.4,1.08690799465056e-142
10.41,2.11928120226603e-142
10.42,4.12675859689285e-142
10.43,8.02519525279482e-142
10.44,1.55858179278305e-141
10.45,3.02296011345865e-141
10.46,5.85551957946074e-141
10.47,1.13273946220218e-140
10.48,2.18840431429379e-140
10.49,4.22240020372259e-140
10.5,8.1362986674692e-140
10.51,1.56578230336816e-139
10.52,3.00936063756147e-139
10.53,5.77639380451928e-139
10.54,1.10733848037915e-138
10.55,2.1200512853066e-138
10.56,4.05374148000986e-138
10.57,7.74124414624195e-138
10.58,1.47642651592772e-137
10.59,2.81229310464166e-137
10.6,5.35005584760254e-137
10.61,1.01649757361502e-136
10.62,1.92888341864133e-136
10.63,3.65559872339242e-136
10.64,6.91934929875816e-136
10.65,1.30805946148673e-135
10.66,2.46971307096374e-135
10.67,4.65718597313699e-135
10.68,8.77122008682369e-135
10.69,1.64989786151091e-134
10.7,3.09967390122737e-134
10.71,5.8161837356468e-134
10.72,1.08999537896569e-133
10.73,2.04021945326242e-133
10.74,3.8141349595091e-133
10.75,7.12169588994136e-133
10.76,1.32812893271321e-132
10.77,2.4738179694826e-132
10.78,4.60221783586136e-132
10.79,8.55145014389884e-132
10.8,1.58703594371401e-131
10.81,2.94177453493392e-131
10.82,5.44639150515484e-131
10.83,1.00713201359472e-130
10.84,1.86012973099878e-130
10.85,3.4314728684755e-130
10.86,6.32265690573218e-130
10.87,1.16359428315301e-129
10.88,2.13888611069175e-129
10.89,3.92698333318944e-129
10.9,7.20140052882161e-129
10.91,1.31905400032473e-128
10.92,2.41322086712874e-128
10.93,4.40982788360557e-128
10.94,8.04891713405948e-128
10.95,1.46739048505449e-127
10.96,2.67206819928956e-127
10.97,4.86008812211085e-127
10.98,8.82951156102201e-127
10.99,1.60223533957168e-126
11,2.9041174883114e-126
11.01,5.25776850031365e-126
11.02,9.50800258186515e-126
11.03,1.71742911525632e-125
11.04,3.09864050596747e-125
11.05,5.58428465952878e-125
11.06,1.00523828623465e-124
11.07,1.80749350082336e-124
11.08,3.24632388637613e-124
11.09,5.82392073354008e-124
11.1,1.04363513280109e-123
11.11,1.86806796068449e-123
11.12,3.34001574526082e-123
11.13,5.96509451286387e-123
11.14,1.06414357029706e-122
11.15,1.89626184887815e-122
11.16,3.37530231527955e-122
11.17,6.00128750167538e-122
11.18,1.06584651367653e-121
11.19,1.89088221536174e-121
11.2,3.35084967754682e-121
11.21,5.93153583605346e-121
11.22,1.04882298940538e-120
11.23,1.85251247991759e-120
11.24,3.26847423705775e-120
11.25,5.76043182273964e-120
11.26,1.01412650909427e-119
11.27,1.78343552872605e-119
11.28,3.1329390045467e-119
11.29,5.49764598246194e-119
11.3,9.63680256788702e-119
11.31,1.68741368029311e-118
11.32,2.95150573802113e-118
11.33,5.15703650801701e-118
11.34,9.00103251567937e-118
11.35,1.56935445816537e-117
11.36,2.73330053931019e-117
11.37,4.75545841953385e-117
11.38,8.26489005276653e-117
11.39,1.43490282241352e-116
11.4,2.48856873480321e-116
11.41,4.31141227304287e-116
11.42,7.46162204899718e-116
11.43,1.29000601603732e-115
11.44,2.22790173246254e-115
11.45,3.84367927916145e-115
11.46,6.62439278214386e-115
11.47,1.14049617312153e-114
11.48,1.96151400575092e-114
11.49,3.37007693452155e-114
11.5,5.78415645862566e-114
11.51,9.91729093407976e-114
11.52,1.69863422123506e-113
11.53,2.90644067650536e-113
11.54,4.96796831203792e-113
11.55,8.48306726363806e-113
11.56,1.44705393933652e-112
11.57,2.46589862333443e-112
11.58,4.19783511292635e-112
11.59,7.13897992430881e-112
11.6,1.21285403443877e-111
11.61,2.05846490603432e-111
11.62,3.49013246047945e-111
11.63,5.91159701931233e-111
11.64,1.00030664807628e-110
11.65,1.69093869115265e-110
11.66,2.85555078550915e-110
11.67,4.81748288899569e-110
11.68,8.11932042202368e-110
11.69,1.36706551443304e-109
11.7,2.29948223576934e-109
11.71,3.86405062326649e-109
11.72,6.48677008323301e-109
11.73,1.08789775383522e-108
11.74,1.82273048943233e-108
11.75,3.05093224260348e-108
11.76,5.10175164968417e-108
11.77,8.52282613246491e-108
11.78,1.42241532710933e-107
11.79,2.37163914244674e-107
11.8,3.95049118393454e-107
11.81,6.57407709417926e-107
11.82,1.09295077233051e-106
11.83,1.81530424990023e-106
11.84,3.01218860458805e-106
11.85,4.99343853316855e-106
11.86,8.26995144307332e-106
11.87,1.36833616834756e-105
11.88,2.2618830072447e-105
11.89,3.73538903753185e-105
11.9,6.16298053748637e-105
11.91,1.01586474360132e-104
11.92,1.67290775309572e-104
11.93,2.75232674235423e-104
11.94,4.52398076257316e-104
11.95,7.42908185990849e-104
11.96,1.21883254265854e-103
11.97,1.99778297629309e-103
11.98,3.27151418417675e-103
11.99,5.35237336668914e-103
12,8.74866821965259e-103
12.01,1.4286843958105e-102
12.02,2.33093583271552e-102
12.03,3.79948600006201e-102
12.04,6.18757878086375e-102
12.05,1.0067435205555e-101
12.06,1.63651502774591e-101
12.07,2.65781682700581e-101
12.08,4.31255681154619e-101
12.09,6.99117514600067e-101
12.1,1.13232720165519e-100
12.11,1.83231836880389e-100
12.12,2.96236110591892e-100
12.13,4.7850221530179e-100
12.14,7.72217478903947e-100
12.15,1.24510461839666e-99
12.16,2.00578058222113e-99
12.17,3.22829476127625e-99
12.18,5.19129771577899e-99
12.19,8.3405079338996e-99
12.2,1.33882460145189e-98
12.21,2.14718911876559e-98
12.22,3.44059177666029e-98
12.23,5.50824230597609e-98
12.24,8.81070718526267e-98
12.25,1.40807938995969e-97
12.26,2.24834501057691e-97
12.27,3.58689780116178e-97
12.28,5.71736710523728e-97
12.29,9.10531496453125e-97
12.3,1.44882681436792e-96
12.31,2.30335761492049e-96
12.32,3.65873070234697e-96
12.33,5.80663434861457e-96
12.34,9.20755353885491e-96
12.35,1.45878249929722e-95
12.36,2.30921372184084e-95
12.37,3.65229443120442e-95
12.38,5.77160060876544e-95
12.39,9.11289501324873e-95
12.4,1.43762904099816e-94
12.41,2.2660445626907e-94
12.42,3.5687979156327e-94
12.43,5.6157546963719e-94
12.44,8.82932944677603e-94
12.45,1.38701606601889e-93
12.46,2.17705896789756e-93
12.47,3.41424417243274e-93
12.48,5.35001986538095e-93
12.49,8.37632257881465e-93
12.5,1.31035605845059e-92
12.51,2.04816018537656e-92
12.52,3.19873256348633e-92
12.53,4.9915117392602e-92
12.54,7.78264378957353e-92
12.55,1.2124499969027e-91
12.56,1.88730843509882e-91
12.57,2.93538464201663e-91
12.58,4.56174470593736e-91
12.59,7.08339541229686e-91
12.6,1.09899893322657e-90
12.61,1.70372327153874e-90
12.62,2.63904965520079e-90
12.63,4.08454334739263e-90
12.64,6.31666167311957e-90
12.65,9.76069176574494e-90
12.66,1.50703441344063e-89
12.67,2.32496298049836e-89
12.68,3.5839333627643e-89
12.69,5.5202091110669e-89
12.7,8.49578589012955e-89
12.71,1.30648587361298e-88
12.72,2.00751921266364e-88
12.73,3.08225975325162e-88
12.74,4.72861540185763e-88
12.75,7.24860906679763e-88
12.76,1.11027864526284e-87
12.77,1.6992865192094e-87
12.78,2.59871854015677e-87
12.79,3.97109772130405e-87
12.8,6.06347076643395e-87
12.81,9.25107222235648e-87
12.82,1.41033930106138e-86
12.83,2.14840710719247e-86
12.84,3.27018007315546e-86
12.85,4.97381409587472e-86
12.86,7.55911408072008e-86
12.87,1.14793261460819e-85
12.88,1.74191399220671e-85
12.89,2.64120741956419e-85
12.9,4.00169944378633e-85
12.91,6.05833452185035e-85
12.92,9.16493783485732e-85
12.93,1.3853960697881e-84
12.94,2.09260469457951e-84
12.95,3.15842025326511e-84
12.96,4.76346273041946e-84
12.97,7.17871016291759e-84
12.98,1.08103937783146e-83
12.99,1.62670465178878e-83
13,2.44595608376175e-83
13.01,3.67503943271191e-83
13.02,5.51758968776762e-83
13.03,8.27773454979471e-83
13.04,1.24093470391142e-82
13.05,1.85892705748227e-82
13.06,2.78261032632765e-82
13.07,4.16216890909537e-82
13.08,6.22106747161073e-82
13.09,9.2915605441896e-82
13.1,1.38672895555223e-81
13.11,2.06811322987758e-81
13.12,3.08203438083086e-81
13.13,4.58967265804246e-81
13.14,6.82979455417593e-81
13.15,1.01558409009112e-80
13.16,1.50906199931599e-80
13.17,2.24069036022827e-80
13.18,3.3246107004079e-80
13.19,4.92929216883534e-80
13.2,7.3032093489906e-80
13.21,1.08125712834802e-79
13.22,1.599671752928e-79
13.23,2.36493953009508e-79
13.24,3.4937923439768e-79
13.25,5.1577778262342e-79
13.26,7.60881938088375e-79
13.27,1.12166102136567e-78
13.28,1.65232812611082e-78
13.29,2.43232655379958e-78
13.3,3.57798888183253e-78
13.31,5.25954545896657e-78
13.32,7.72591915456171e-78
13.33,1.13408452056969e-77
13.34,1.66354517570747e-77
13.35,2.43847486396713e-77
13.36,3.57188170687157e-77
13.37,5.2284329568386e-77
13.38,7.64790176449681e-77
13.39,1.11791794588212e-76
13.4,1.63295798713129e-76
13.41,2.38362612272386e-76
13.42,3.47696153841241e-76
13.43,5.06828285571592e-76
13.44,7.38280827700126e-76
13.45,1.07468875309404e-75
13.46,1.56330876371629e-75
13.47,2.27252328841844e-75
13.48,3.30121658761841e-75
13.49,4.7922819802642e-75
13.5,6.95206703451705e-75
13.51,1.00783479845984e-74
13.52,1.46005470642922e-74
13.53,2.11375114327252e-74
13.54,3.05804658079349e-74
13.55,4.42120258995527e-74
13.56,6.38768331403519e-74
13.57,9.22260356757593e-74
13.58,1.33067337913619e-73
13.59,1.91865866207154e-73
13.6,2.76460346747691e-73
